ind,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
28,2012/8/29,3,1,8,4,0,3,1,1,0.6,0.5909,0.73,0.2239,2,8,10
29,2011/6/25,3,0,6,13,0,6,0,1,0.74,0.6515,0.4,0.2836,140,231,371
30,2012/10/5,4,1,10,13,0,5,1,1,0.7,0.6515,0.48,0,117,307,424
31,2012/6/27,3,1,6,22,0,3,1,1,0.72,0.6515,0.39,0.0896,52,245,297
32,2012/4/10,2,1,4,1,0,2,1,1,0.42,0.4242,0.5,0.2239,0,9,9
33,2011/6/19,2,0,6,11,0,0,0,2,0.72,0.6667,0.58,0.0896,141,236,377
34,2012/2/28,1,1,2,1,0,2,1,1,0.38,0.3939,0.62,0.1642,0,6,6
35,2011/6/4,2,0,6,4,0,6,0,1,0.52,0.5,0.59,0.0896,4,11,15
36,2011/9/1,3,0,9,13,0,4,1,2,0.72,0.6667,0.48,0.0896,50,169,219
37,2011/12/15,4,0,12,19,0,4,1,2,0.52,0.5,0.59,0.2836,13,274,287
38,2012/6/22,3,1,6,16,0,5,1,1,0.9,0.803,0.31,0.2239,67,313,380
39,2012/1/27,1,1,1,22,0,5,1,1,0.34,0.303,0.49,0.3881,11,108,119
40,2011/3/31,2,0,3,1,0,4,1,3,0.24,0.2273,0.93,0.194,1,4,5
41,2011/8/4,3,0,8,2,0,4,1,2,0.66,0.5909,0.94,0.0896,2,5,7
42,2012/12/8,4,1,12,4,0,6,0,2,0.36,0.3788,0.93,0,3,9,12
43,2012/6/11,2,1,6,21,0,1,1,2,0.72,0.6667,0.58,0.194,32,218,250
44,2011/9/29,4,0,9,10,0,4,1,1,0.64,0.6061,0.65,0.194,24,103,127
45,2012/2/16,1,1,2,1,0,4,1,2,0.3,0.3333,0.7,0,0,5,5
46,2011/10/4,4,0,10,22,0,2,1,1,0.5,0.4848,0.72,0.1343,8,106,114
47,2012/7/9,3,1,7,6,0,1,1,3,0.64,0.5758,0.89,0.2537,6,86,92
48,2011/9/16,3,0,9,23,0,5,1,1,0.5,0.4848,0.59,0,20,106,126
49,2011/2/24,1,0,2,12,0,4,1,2,0.36,0.3333,0.53,0.3582,10,85,95
50,2012/1/5,1,1,1,7,0,4,1,2,0.2,0.2273,0.69,0.0896,3,212,215
51,2011/9/17,3,0,9,15,0,6,0,2,0.52,0.5,0.72,0.194,148,206,354
52,2011/8/23,3,0,8,6,0,2,1,1,0.54,0.5152,0.6,0.194,3,111,114
53,2011/7/22,3,0,7,0,0,5,1,1,0.82,0.8333,0.63,0.1343,9,51,60
54,2011/11/19,4,0,11,7,0,6,0,1,0.24,0.2273,0.6,0.2537,3,38,41
55,2012/5/2,2,1,5,2,0,3,1,1,0.56,0.5303,0.83,0,7,9,16
56,2012/5/23,2,1,5,22,0,3,1,2,0.62,0.5758,0.83,0.1642,23,136,159
57,2012/6/12,2,1,6,17,0,2,1,2,0.66,0.5909,0.89,0.2836,56,625,681
58,2012/5/27,2,1,5,21,0,0,0,3,0.66,0.6212,0.69,0.4179,64,79,143
59,2011/10/26,4,0,10,0,0,3,1,1,0.44,0.4394,0.72,0.194,4,28,32
60,2011/8/4,3,0,8,19,0,4,1,1,0.7,0.6667,0.74,0.2836,65,301,366
61,2012/12/5,4,1,12,14,0,3,1,1,0.48,0.4697,0.33,0.4925,39,179,218
62,2012/5/21,2,1,5,5,0,1,1,3,0.56,0.5303,0.88,0.2985,1,14,15
63,2011/8/20,3,0,8,8,0,6,0,1,0.66,0.6212,0.69,0,27,106,133
64,2011/9/20,3,0,9,6,0,2,1,2,0.54,0.5152,0.88,0.194,3,111,114
65,2012/3/3,1,1,3,0,0,6,0,3,0.36,0.3636,0.93,0.0896,1,21,22
66,2012/10/23,4,1,10,17,0,2,1,1,0.68,0.6364,0.41,0,67,871,938
67,2011/2/19,1,0,2,12,0,6,0,1,0.44,0.4394,0.18,0.4925,38,81,119
68,2012/7/9,3,1,7,2,0,1,1,3,0.7,0.6667,0.89,0.194,1,4,5
69,2011/9/16,3,0,9,9,0,5,1,1,0.46,0.4545,0.55,0.2537,21,189,210
70,2012/11/23,4,1,11,23,0,5,1,1,0.42,0.4242,0.38,0.4478,20,47,67
71,2011/4/17,2,0,4,22,0,0,0,1,0.5,0.4848,0.39,0.1045,21,49,70
72,2011/10/18,4,0,10,16,0,2,1,1,0.62,0.6212,0.57,0.2537,58,246,304
73,2011/5/8,2,0,5,23,0,0,0,1,0.46,0.4545,0.88,0.0896,9,41,50
74,2011/9/29,4,0,9,3,0,4,1,2,0.6,0.5152,0.94,0.194,0,8,8
75,2011/10/29,4,0,10,21,0,6,0,1,0.24,0.2121,0.87,0.3582,1,49,50
76,2011/1/13,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,64,64
77,2011/3/28,2,0,3,14,0,1,1,1,0.32,0.303,0.22,0.2239,15,65,80
78,2012/5/25,2,1,5,22,0,5,1,1,0.66,0.6212,0.74,0.1045,65,147,212
79,2011/4/15,2,0,4,2,1,5,0,1,0.4,0.4091,0.76,0,8,10,18
80,2011/8/11,3,0,8,21,0,4,1,1,0.7,0.6515,0.48,0.0896,35,171,206
81,2011/1/25,1,0,1,6,0,2,1,1,0.16,0.1818,0.74,0.1045,1,35,36
82,2012/3/28,2,1,3,20,0,3,1,1,0.6,0.6212,0.56,0.2985,38,324,362
83,2012/12/8,4,1,12,12,0,6,0,2,0.4,0.4091,0.87,0.2239,122,364,486
84,2011/5/8,2,0,5,17,0,0,0,3,0.58,0.5455,0.49,0.2836,106,245,351
85,2011/2/2,1,0,2,16,0,3,1,1,0.36,0.3333,0.71,0.2985,8,95,103
86,2011/7/19,3,0,7,23,0,2,1,3,0.72,0.697,0.79,0.1642,19,73,92
87,2011/2/26,1,0,2,5,0,6,0,2,0.22,0.2424,0.64,0.1045,1,9,10
88,2011/4/9,2,0,4,15,0,6,0,2,0.36,0.3788,0.87,0,85,116,201
89,2011/8/31,3,0,8,19,0,3,1,1,0.84,0.7727,0.47,0.2537,53,393,446
90,2011/7/16,3,0,7,11,0,6,0,1,0.74,0.6667,0.48,0.2239,171,225,396
91,2012/3/13,1,1,3,14,0,2,1,1,0.64,0.6212,0.53,0.3284,52,160,212
92,2011/10/17,4,0,10,13,0,1,1,1,0.56,0.5303,0.46,0.0896,49,156,205
93,2012/2/12,1,1,2,19,0,0,0,1,0.16,0.1364,0.4,0.2836,2,78,80
94,2011/3/23,2,0,3,20,0,3,1,3,0.36,0.303,0.87,0.6418,3,72,75
95,2011/3/6,1,0,3,11,0,0,0,2,0.42,0.4242,1,0.2239,18,44,62
96,2012/6/3,2,1,6,5,0,0,0,1,0.5,0.4848,0.68,0,1,11,12
97,2012/9/27,4,1,9,19,0,4,1,1,0.66,0.6212,0.65,0.1343,48,511,559
98,2012/7/13,3,1,7,15,0,5,1,2,0.8,0.7121,0.36,0.1045,92,261,353
99,2011/7/7,3,0,7,16,0,4,1,1,0.86,0.7727,0.39,0.2239,47,218,265
100,2012/4/21,2,1,4,13,0,6,0,1,0.66,0.6212,0.54,0.2239,291,358,649
101,2011/8/29,3,0,8,21,0,1,1,1,0.64,0.6212,0.53,0.194,34,168,202
102,2011/12/11,4,0,12,1,0,0,0,1,0.16,0.1515,0.59,0.2239,8,54,62
103,2011/1/1,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
104,2012/6/16,2,1,6,22,0,6,0,1,0.62,0.6212,0.53,0.2985,91,189,280
105,2011/6/2,2,0,6,17,0,4,1,1,0.76,0.6515,0.2,0.5224,88,484,572
106,2011/12/2,4,0,12,10,0,5,1,1,0.3,0.2879,0.75,0.2239,16,89,105
107,2012/12/21,1,1,12,19,0,5,1,1,0.28,0.2576,0.45,0.2985,5,148,153
108,2012/10/26,4,1,10,13,0,5,1,2,0.58,0.5455,0.68,0.1343,77,260,337
109,2011/1/23,1,0,1,18,0,0,0,1,0.12,0.1212,0.3,0.2537,5,44,49
110,2012/7/27,3,1,7,7,0,5,1,1,0.72,0.6818,0.7,0.194,13,397,410
111,2012/1/17,1,1,1,5,0,2,1,3,0.32,0.303,0.66,0.3284,0,13,13
112,2012/1/22,1,1,1,5,0,0,0,3,0.16,0.1515,0.74,0.2239,1,2,3
113,2012/9/12,3,1,9,23,0,3,1,1,0.56,0.5303,0.68,0.1045,16,111,127
114,2011/3/30,2,0,3,10,0,3,1,2,0.34,0.3182,0.46,0.2239,13,51,64
115,2011/11/21,4,0,11,3,0,1,1,3,0.44,0.4394,1,0.1343,0,4,4
116,2012/7/24,3,1,7,18,0,2,1,1,0.76,0.7121,0.62,0.3284,110,767,877
117,2012/10/6,4,1,10,5,0,6,0,1,0.54,0.5152,0.83,0.194,2,8,10
118,2012/4/22,2,1,4,10,0,0,0,3,0.38,0.3939,0.82,0.3284,11,57,68
119,2012/6/8,2,1,6,16,0,5,1,1,0.76,0.6667,0.29,0.2985,111,412,523
120,2012/5/1,2,1,5,15,0,2,1,2,0.74,0.6667,0.45,0.2239,48,186,234
121,2012/4/23,2,1,4,13,0,1,1,3,0.34,0.303,0.66,0.3881,9,98,107
122,2011/5/29,2,0,5,6,0,0,0,2,0.62,0.5606,0.88,0.194,5,10,15
123,2011/9/19,3,0,9,9,0,1,1,2,0.54,0.5152,0.68,0.1642,32,183,215
124,2011/8/19,3,0,8,12,0,5,1,2,0.74,0.6818,0.62,0.0896,54,168,222
125,2011/1/1,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
126,2011/9/26,4,0,9,21,0,1,1,1,0.64,0.5758,0.89,0.1343,18,164,182
127,2012/4/26,2,1,4,20,0,4,1,1,0.54,0.5152,0.77,0.194,23,314,337
128,2012/5/10,2,1,5,19,0,4,1,1,0.54,0.5152,0.37,0.3582,84,469,553
129,2011/8/21,3,0,8,23,0,0,0,1,0.7,0.6667,0.74,0.1642,20,48,68
130,2012/9/19,3,1,9,17,0,3,1,1,0.6,0.6212,0.38,0.2239,74,812,886
131,2011/6/3,2,0,6,11,0,5,1,1,0.64,0.6212,0.31,0.3284,57,135,192
132,2011/3/12,1,0,3,9,0,6,0,1,0.28,0.2879,0.65,0.1045,25,76,101
133,2012/11/12,4,1,11,13,1,1,0,1,0.6,0.6061,0.6,0.2239,108,312,420
134,2011/12/5,4,0,12,1,0,1,1,1,0.32,0.3485,0.87,0,2,10,12
135,2011/6/19,2,0,6,6,0,0,0,2,0.66,0.6061,0.78,0.1642,11,22,33
136,2011/8/4,3,0,8,8,0,4,1,2,0.7,0.6515,0.82,0.3582,29,369,398
137,2011/1/11,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20
138,2012/1/15,1,1,1,4,0,0,0,2,0.16,0.1364,0.47,0.3881,1,5,6
139,2011/12/31,1,0,12,3,0,6,0,2,0.4,0.4091,0.62,0.2836,1,17,18
140,2012/3/18,1,1,3,18,0,0,0,1,0.56,0.5303,0.64,0.1642,165,294,459
141,2012/11/30,4,1,11,11,0,5,1,2,0.34,0.3485,0.53,0.0896,31,170,201
142,2011/4/4,2,0,4,7,0,1,1,2,0.44,0.4394,0.54,0.2537,7,150,157
143,2012/4/11,2,1,4,8,0,3,1,1,0.3,0.2879,0.49,0.2239,14,581,595
144,2011/11/5,4,0,11,14,0,6,0,1,0.42,0.4242,0.35,0.1343,159,227,386
145,2011/9/21,3,0,9,14,0,3,1,2,0.66,0.6212,0.74,0.194,40,139,179
146,2011/1/15,1,0,1,22,0,6,0,2,0.3,0.3182,0.42,0.1045,0,26,26
147,2012/9/24,4,1,9,0,0,1,1,1,0.46,0.4545,0.63,0.194,10,54,64
148,2012/10/9,4,1,10,1,0,2,1,3,0.36,0.3485,0.87,0.2239,0,13,13
149,2012/10/19,4,1,10,15,0,5,1,1,0.64,0.6061,0.65,0.2985,93,302,395
150,2011/6/2,2,0,6,11,0,4,1,1,0.74,0.6515,0.28,0.3881,42,123,165
151,2011/1/9,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38
152,2012/12/12,4,1,12,14,0,3,1,2,0.34,0.3636,0.46,0,34,191,225
153,2011/7/28,3,0,7,23,0,4,1,1,0.76,0.7424,0.75,0.194,28,95,123
154,2012/11/6,4,1,11,1,0,2,1,1,0.24,0.2424,0.6,0.1642,0,8,8
155,2011/6/13,2,0,6,10,0,1,1,1,0.64,0.6212,0.41,0.3284,38,80,118
156,2012/10/27,4,1,10,15,0,6,0,2,0.56,0.5303,0.6,0.2836,310,401,711
157,2012/6/14,2,1,6,5,0,4,1,2,0.6,0.6212,0.56,0.2537,0,40,40
158,2011/1/1,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
159,2012/10/25,4,1,10,11,0,4,1,2,0.54,0.5152,0.83,0.1045,57,181,238
160,2012/5/15,2,1,5,1,0,2,1,3,0.56,0.5303,0.88,0.1343,5,14,19
161,2011/4/12,2,0,4,6,0,2,1,2,0.54,0.5152,0.68,0.2836,3,55,58
162,2011/8/20,3,0,8,6,0,6,0,2,0.6,0.5606,0.83,0.1343,6,18,24
163,2012/3/25,2,1,3,1,0,0,0,2,0.42,0.4242,1,0.2537,24,65,89
164,2011/8/26,3,0,8,20,0,5,1,1,0.72,0.697,0.79,0.0896,39,183,222
165,2011/6/5,2,0,6,13,0,0,0,1,0.66,0.6212,0.65,0.1045,154,213,367
166,2012/4/3,2,1,4,6,0,2,1,1,0.3,0.3182,0.61,0.0896,2,98,100
167,2011/10/12,4,0,10,1,0,3,1,3,0.56,0.5303,0.83,0.1343,2,8,10
168,2012/4/15,2,1,4,17,0,0,0,1,0.7,0.6364,0.42,0.3284,262,361,623
169,2011/5/20,2,0,5,9,0,5,1,1,0.54,0.5152,0.68,0.2239,35,199,234
170,2011/9/4,3,0,9,17,0,0,0,1,0.76,0.7273,0.66,0.2239,204,172,376
171,2011/7/1,3,0,7,2,0,5,1,1,0.62,0.6061,0.69,0,6,7,13
172,2012/8/4,3,1,8,14,0,6,0,1,0.88,0.803,0.4,0.3881,183,289,472
173,2011/6/10,2,0,6,1,0,5,1,3,0.7,0.6515,0.65,0.2239,5,18,23
174,2011/10/26,4,0,10,17,0,3,1,2,0.52,0.5,0.77,0.1045,40,414,454
175,2011/7/19,3,0,7,22,0,2,1,1,0.74,0.7121,0.74,0,36,120,156
176,2012/10/18,4,1,10,4,0,4,1,1,0.44,0.4394,0.88,0.2239,0,5,5
177,2011/9/28,4,0,9,0,0,3,1,1,0.6,0.5455,0.88,0,7,29,36
178,2012/8/5,3,1,8,12,0,0,0,1,0.86,0.803,0.47,0.5224,161,330,491
179,2011/12/9,4,0,12,21,0,5,1,1,0.3,0.3333,0.75,0,9,131,140
180,2012/3/31,2,1,3,13,0,6,0,1,0.54,0.5152,0.6,0.1343,265,373,638
181,2011/4/27,2,0,4,4,0,3,1,1,0.56,0.5303,0.94,0.2239,0,6,6
182,2011/5/27,2,0,5,3,0,5,1,1,0.66,0.6212,0.65,0.0896,1,11,12
183,2011/3/18,1,0,3,7,0,5,1,1,0.4,0.4091,0.66,0.194,11,112,123
184,2011/12/12,4,0,12,17,0,1,1,2,0.3,0.3333,0.56,0,7,352,359
185,2012/1/17,1,1,1,11,0,2,1,2,0.34,0.3485,0.87,0.1045,2,73,75
186,2012/12/31,1,1,12,18,0,1,1,2,0.26,0.2727,0.48,0.1343,10,112,122
187,2011/8/4,3,0,8,17,0,4,1,1,0.76,0.7121,0.62,0.3284,91,464,555
188,2012/5/26,2,1,5,10,0,6,0,1,0.68,0.6364,0.79,0.2239,181,256,437
189,2011/7/29,3,0,7,20,0,5,1,1,0.86,0.7879,0.41,0.3284,53,153,206
190,2011/8/27,3,0,8,16,0,6,0,3,0.64,0.5758,0.89,0.5224,10,14,24
191,2012/5/10,2,1,5,1,0,4,1,2,0.48,0.4697,0.88,0.1343,2,9,11
192,2011/11/29,4,0,11,2,0,2,1,2,0.5,0.4848,0.88,0,0,5,5
193,2012/3/11,1,1,3,10,0,0,0,1,0.32,0.303,0.49,0.2836,71,147,218
194,2011/3/23,2,0,3,0,0,3,1,3,0.36,0.3485,0.71,0.2239,3,8,11
195,2011/12/21,1,0,12,2,0,3,1,2,0.36,0.3788,0.71,0,0,4,4
196,2012/1/4,1,1,1,1,0,3,1,1,0.04,0.0303,0.38,0.2985,0,3,3
197,2011/4/16,2,0,4,13,0,6,0,3,0.46,0.4545,0.94,0.5224,9,49,58
198,2012/1/24,1,1,1,7,0,2,1,2,0.32,0.3333,0.93,0.1343,11,221,232
199,2012/12/26,1,1,12,17,0,3,1,3,0.26,0.2273,0.93,0.3582,2,51,53
200,2012/7/2,3,1,7,5,0,1,1,2,0.72,0.6667,0.51,0,3,37,40
201,2011/3/28,2,0,3,21,0,1,1,1,0.32,0.3333,0.21,0.1343,6,55,61
202,2012/3/16,1,1,3,13,0,5,1,2,0.46,0.4545,0.77,0.0896,52,208,260
203,2012/9/13,3,1,9,17,0,4,1,1,0.72,0.6515,0.42,0.194,97,787,884
204,2011/4/9,2,0,4,12,0,6,0,2,0.36,0.3485,0.81,0.1343,79,123,202
205,2012/12/22,1,1,12,11,0,6,0,1,0.28,0.2576,0.41,0.3582,29,130,159
206,2011/4/18,2,0,4,14,0,1,1,2,0.58,0.5455,0.49,0.194,49,95,144
207,2012/10/5,4,1,10,5,0,5,1,1,0.52,0.5,0.77,0,0,41,41
208,2012/5/30,2,1,5,19,0,3,1,1,0.72,0.6667,0.54,0.1642,50,506,556
209,2012/8/23,3,1,8,18,0,4,1,1,0.74,0.6667,0.48,0.2239,130,811,941
210,2011/4/3,2,0,4,22,0,0,0,1,0.4,0.4091,0.43,0.1045,7,29,36
211,2011/7/31,3,0,7,12,0,0,0,1,0.9,0.7727,0.25,0.194,146,192,338
212,2012/6/14,2,1,6,22,0,4,1,2,0.64,0.6061,0.65,0.2239,46,196,242
213,2011/5/15,2,0,5,15,0,0,0,1,0.66,0.6212,0.69,0.2537,206,253,459
214,2012/11/4,4,1,11,4,0,0,0,1,0.26,0.2727,0.65,0.1343,2,7,9
215,2011/4/27,2,0,4,19,0,3,1,1,0.62,0.5909,0.78,0.2836,40,220,260
216,2012/9/26,4,1,9,12,0,3,1,1,0.68,0.6364,0.61,0.2239,56,260,316
217,2012/6/11,2,1,6,22,0,1,1,2,0.72,0.6667,0.58,0.194,22,142,164
218,2011/9/5,3,0,9,19,1,1,0,3,0.66,0.5909,0.94,0.1045,52,123,175
219,2012/2/27,1,1,2,14,0,1,1,1,0.46,0.4545,0.36,0.2836,24,134,158
220,2012/2/24,1,1,2,13,0,5,1,2,0.42,0.4242,0.71,0.1045,30,153,183
221,2012/4/12,2,1,4,23,0,4,1,1,0.42,0.4242,0.35,0.194,8,86,94
222,2011/9/21,3,0,9,5,0,3,1,2,0.54,0.5152,1,0.1642,1,30,31
223,2012/4/2,2,1,4,16,0,1,1,1,0.5,0.4848,0.34,0.3284,104,291,395
224,2012/5/21,2,1,5,16,0,1,1,2,0.64,0.6061,0.73,0.2537,46,269,315
225,2012/7/23,3,1,7,23,0,1,1,1,0.72,0.6818,0.66,0.1642,16,98,114
226,2012/4/10,2,1,4,4,0,2,1,1,0.34,0.3333,0.71,0.1343,0,2,2
227,2012/12/5,4,1,12,19,0,3,1,1,0.38,0.3939,0.43,0.3582,14,400,414
228,2011/2/8,1,0,2,18,0,2,1,1,0.2,0.1818,0.32,0.3881,1,151,152
229,2012/9/21,3,1,9,5,0,5,1,1,0.5,0.4848,0.82,0,2,47,49
230,2011/9/2,3,0,9,0,0,5,1,1,0.64,0.6061,0.65,0.194,6,58,64
231,2012/1/14,1,1,1,11,0,6,0,1,0.2,0.197,0.4,0.194,28,150,178
232,2012/5/24,2,1,5,10,0,4,1,1,0.64,0.6061,0.65,0.1343,47,138,185
233,2011/3/2,1,0,3,22,0,3,1,1,0.3,0.2576,0.26,0.5522,4,44,48
234,2012/8/12,3,1,8,9,0,0,0,1,0.7,0.6515,0.48,0.2239,64,153,217
235,2012/11/15,4,1,11,20,0,4,1,1,0.34,0.3485,0.61,0.1045,23,262,285
236,2012/11/22,4,1,11,16,1,4,0,1,0.46,0.4545,0.33,0,101,81,182
237,2012/5/31,2,1,5,20,0,4,1,1,0.68,0.6364,0.44,0.1642,88,391,479
238,2012/10/5,4,1,10,14,0,5,1,1,0.74,0.6515,0.37,0.2239,113,287,400
239,2011/7/23,3,0,7,10,0,6,0,1,0.86,0.7879,0.41,0.2239,61,137,198
240,2012/1/30,1,1,1,4,0,1,1,1,0.2,0.2121,0.51,0.1343,0,5,5
241,2011/12/11,4,0,12,9,0,0,0,1,0.2,0.2576,0.59,0,19,88,107
242,2012/10/23,4,1,10,12,0,2,1,2,0.62,0.6212,0.46,0.0896,80,298,378
243,2012/5/19,2,1,5,14,0,6,0,1,0.72,0.6515,0.3,0.0896,361,369,730
244,2012/9/6,3,1,9,5,0,4,1,2,0.7,0.6667,0.84,0.194,3,35,38
245,2011/12/27,1,0,12,22,0,2,1,1,0.32,0.3333,0.87,0.0896,3,29,32
246,2011/6/30,3,0,6,3,0,4,1,1,0.6,0.6061,0.6,0.1642,2,7,9
247,2012/3/23,2,1,3,0,0,5,1,1,0.56,0.5303,0.83,0,30,65,95
248,2011/12/30,1,0,12,16,0,5,1,1,0.42,0.4242,0.47,0.194,36,247,283
249,2011/12/11,4,0,12,11,0,0,0,1,0.26,0.303,0.35,0,31,166,197
250,2011/3/24,2,0,3,17,0,4,1,2,0.3,0.2879,0.7,0.2239,12,221,233
251,2012/11/10,4,1,11,13,0,6,0,1,0.52,0.5,0.39,0,268,383,651
252,2011/8/23,3,0,8,4,0,2,1,1,0.54,0.5152,0.56,0.1642,0,5,5
253,2011/4/19,2,0,4,23,0,2,1,1,0.46,0.4545,0.88,0.0896,11,41,52
254,2012/7/21,3,1,7,3,0,6,0,3,0.6,0.5455,0.88,0.2537,7,18,25
255,2011/1/29,1,0,1,16,0,6,0,1,0.24,0.2424,0.6,0.1642,19,88,107
256,2011/6/25,3,0,6,16,0,6,0,1,0.76,0.6818,0.43,0.2985,175,235,410
257,2012/9/16,3,1,9,20,0,0,0,1,0.6,0.6212,0.53,0.1045,57,267,324
258,2011/3/6,1,0,3,6,0,0,0,2,0.42,0.4242,0.94,0.3582,1,1,2
259,2011/7/11,3,0,7,10,0,1,1,1,0.8,0.7576,0.55,0.3582,44,73,117
260,2012/3/7,1,1,3,3,0,3,1,1,0.3,0.2727,0.56,0.3582,1,2,3
261,2012/11/20,4,1,11,21,0,2,1,1,0.36,0.3788,0.71,0,14,143,157
262,2012/9/13,3,1,9,9,0,4,1,1,0.6,0.6061,0.64,0.0896,46,292,338
263,2012/4/8,2,1,4,10,0,0,0,1,0.5,0.4848,0.25,0.2239,113,186,299
264,2012/3/4,1,1,3,0,0,0,0,2,0.4,0.4091,0.3,0.3582,5,67,72
265,2012/11/9,4,1,11,13,0,5,1,1,0.46,0.4545,0.38,0.2985,62,237,299
266,2012/4/16,2,1,4,1,1,1,0,1,0.62,0.6061,0.61,0.3582,7,21,28
267,2011/3/23,2,0,3,22,0,3,1,2,0.32,0.3182,0.93,0.1642,6,38,44
268,2012/8/23,3,1,8,14,0,4,1,1,0.78,0.697,0.46,0.2239,114,191,305
269,2011/12/10,4,0,12,8,0,6,0,1,0.26,0.2727,0.65,0.1343,5,68,73
270,2012/10/30,4,1,10,17,0,2,1,3,0.3,0.2879,0.87,0.2239,19,105,124
271,2011/5/17,2,0,5,8,0,2,1,2,0.52,0.5,0.94,0.2985,22,325,347
272,2012/10/9,4,1,10,9,0,2,1,2,0.42,0.4242,0.77,0.2239,37,345,382
273,2012/6/20,2,1,6,22,0,3,1,1,0.82,0.7576,0.46,0.1045,31,226,257
274,2012/4/1,2,1,4,21,0,0,0,2,0.5,0.4848,0.59,0.1642,33,101,134
275,2012/4/25,2,1,4,2,0,3,1,1,0.36,0.3788,0.62,0,1,6,7
276,2011/12/21,1,0,12,1,0,3,1,2,0.36,0.3636,0.66,0.1045,1,10,11
277,2012/1/12,1,1,1,20,0,4,1,2,0.42,0.4242,0.71,0.194,11,229,240
278,2011/3/1,1,0,3,23,0,2,1,1,0.24,0.2273,0.65,0.2239,2,23,25
279,2012/10/7,4,1,10,18,0,0,0,3,0.4,0.4091,0.82,0.194,24,82,106
280,2012/9/15,3,1,9,0,0,6,0,1,0.6,0.5606,0.83,0.1045,38,169,207
281,2011/4/8,2,0,4,14,0,5,1,3,0.34,0.3182,0.87,0.2239,2,13,15
282,2012/10/30,4,1,10,15,0,2,1,3,0.3,0.2879,0.87,0.2537,10,114,124
283,2012/9/28,4,1,9,10,0,5,1,2,0.64,0.5909,0.78,0.1343,51,194,245
284,2011/2/18,1,0,2,3,0,5,1,1,0.46,0.4545,0.67,0.2537,2,6,8
285,2011/7/12,3,0,7,2,0,2,1,1,0.7,0.6667,0.79,0.1045,2,7,9
286,2011/5/3,2,0,5,14,0,2,1,2,0.7,0.6515,0.58,0.5224,36,122,158
